"°"
"-"
","
";"
":"
"!"
"¡"
"?"
"¿"
"/"
"..."
"."
"«"
"»"
"("
")"
"["
"]"
"{"
"}"
"\""
"̪"
"—"
"000"
"0,432"
"1"
"10"
"100"
"11"
"116"
"12"
"12.1"
"12.2"
"13"
"13.1"
"13.2"
"14"
"14.1"
"14.2"
"15"
"16"
"17"
"18"
"1879"
"1886"
"19"
"1913"
"1922"
"1925"
"1972"
"1983"
"1988,2"
"1993"
",2"
"2"
"20"
"200"
"2010"
"2013"
"218"
".23"
"26"
"27"
"273-232"
"29"
"299"
"29.ª"
"3"
"300"
"3.1"
".32"
"3.2"
"32"
"35"
"383"
"4"
"40"
"400"
"4.1"
"411"
"4.2"
"4.3"
"4.4"
"44"
",45"
"4.5"
"45"
"45,72"
"4.6"
"46"
"4.7"
"4.8"
"483"
"483-411"
"486"
"4.9"
"49"
"5"
"50"
"500"
",51"
"52"
"544"
"545"
"550"
"563"
"563-483"
"59"
"6"
"60"
"7"
".74"
"8"
"80"
"84.000"
"9"
"9.1"
"9.2"
"9.3"
"9.4"
"ʱa"
"a"
"ʰā"
"abajo"
"abandonaría"
"abandonaron"
"abandonó"
"abedul"
"abiniskramama"
"abjaya"
"abril"
"absoluta"
"absoluto"
"abstracción"
"a_causa_de"
"accede"
"accidentalmente"
"acción"
"acepta"
"aceptada"
"aceptadas"
"aceptó"
"acercaba"
"acerca_de"
"acercó"
"achariyabuta"
"achariyabuta_sutra"
"aclamaciones"
"aclarados"
"acompañado"
"acompañado_por_chana"
"acontecimientos"
"actual"
"actuales"
"actualidad"
"actualmente"
"acuerdo"
"adelante"
"además"
"adicional"
"adicionales"
"adornado"
"adorno"
"adquieren"
"a_el_abrigo_de"
"afección"
"aferramiento"
"afganistán"
"afi"
"afianzado"
"aficionadas"
"afirmar"
"afirmó"
"afloja"
"agama"
"agasajo"
"agobios"
"agosto"
"agraciado"
"agradable"
"agua"
"ahmadía70"
"ahogado"
"ahogar"
"a,i:181"
"aits"
"alavaka"
"alberto"
"alcanzado"
"alcanzar"
"alcanzó"
"aldeana"
"alegría"
"alemán"
"alemania"
"algo"
"algún"
"alguna"
"algunas"
"alguno"
"algunos"
"alimentar"
"alimenticia.50"
"alimento"
"alimentos"
"allí"
"almuerzo"
"alrededor_de"
"altamente"
"alternativa"
"alternativas"
"altos"
"alumno.42"
"alumnos"
"ama"
"amantes"
"amarillo"
"ambas"
"ambigüedad"
"a_menos_que"
"amigo"
"amigos"
"ampararon"
"amplia"
"ampliado"
"ampliamente"
"anacoretas.41"
"anagarika_dharmapala"
"ananda"
"anatman"
"anātman"
"ancianos"
"andrew_skilton"
"andrew_skiltonf_los"
"anexada"
"angulimala"
"anicca"
"animal"
"aniquilación"
"aniversario"
"año"
"años"
"ante"
"anterior"
"anteriores"
"antes"
"antes_de"
"antigua"
"antiguas"
"antigüedad"
"antiguos"
"anunció"
"anuruddha"
"anutaro_purisadamasarati"
"apagado"
"aparecen"
"aparecieron"
"aparentemente"
"apariencia"
"aparte_de"
"a_partir_de"
"apellido"
"aplausos"
"apoyan"
"apoyándose"
"appamādena"
"apreciar"
"aprendió"
"a_principios_de"
"aprobación"
"aproximada"
