"ao"
"aq"
"cc"
"cs"
"da"
"dd"
"di"
"dp"
"fa"
"fc"
"fd"
"fe"
"fg"
"fh"
"fi"
"fl"
"fp"
"fr"
"fs"
"fx"
"fz"
"i"
"nc"
"np"
"p0"
"pd"
"pi"
"pp"
"pr"
"pt"
"px"
"rg"
"rn"
"sp"
"va"
"vm"
"vs"
"z"
